,time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,Unnamed: 11,label
0,0.006,0.0143,0.4008,0.5604,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
1,0.011,0.0143,0.4008,0.5604,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
2,0.021,0.0144,0.4479,0.8753,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
3,0.045,0.0144,0.4479,0.8753,‎-0.0982,0.4523,‎-0.0352,‎-28.4439,‎-5.0415,‎-30.7419,,swing
4,0.045,0.0144,0.4479,0.8753,‎-0.0982,0.4523,‎-0.0352,‎-28.4439,‎-5.0415,‎-30.7419,,swing
0,0.022,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,‎-19.6487,3.5889,‎-37.2665,,swing
1,0.024,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,‎-19.6259,4.2633,‎-36.7035,,swing
2,0.025,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
3,0.026,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
4,0.027,‎-0.1784,0.1433,0.9686,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
0,0.01,0.1480,0.2167,1.039,‎-0.5853,0.2323,‎-0.4240,25.0656,‎-27.8229,‎-27.9160,,texting
1,0.046,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.0656,‎-27.8229,‎-27.9160,,texting
2,0.053,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.0656,‎-27.8229,‎-27.9160,,texting
3,0.055,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.531,‎-27.0462,‎-27.3941,,texting
4,0.066,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.531,‎-27.0462,‎-27.3941,,texting
0,0.005,‎-0.0016,0.4067,0.8809,‎-0.1004,‎-0.1138,‎-0.0309,‎-3.1204,12.2726,‎-40.5121,,swing
1,0.037,‎-0.0016,0.4067,0.8809,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
2,0.037,‎-0.0016,0.4067,0.8809,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
3,0.058,0.0223,0.3938,0.9334,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
4,0.067,0.0223,0.3938,0.9334,‎-0.0897,‎-0.1373,0.0000,‎-3.5583,12.9608,‎-40.6250,,swing
0,0.008,0.1082,0.3040,1.2818,0.2393,‎-0.0679,‎-0.1153,21.4615,4.7150,‎-37.3718,,pocket
1,0.009,0.1197,0.3313,1.0929,0.2393,‎-0.0679,‎-0.1153,21.4615,4.7150,‎-37.3718,,pocket
2,0.049,0.1197,0.3313,1.0929,0.2393,‎-0.0679,‎-0.1153,22.9950,5.5038,‎-36.3724,,pocket
3,0.056,0.0609,0.2251,1.0085,0.2393,‎-0.0679,‎-0.1153,22.9950,5.5038,‎-36.3724,,pocket
4,0.058,0.0609,0.2251,1.0085,‎-0.1623,0.4939,‎-0.4475,22.9950,5.5038,‎-36.3724,,pocket
0,0.01,‎-0.0765,0.4199,0.8413,0.0737,‎-0.0091,0.0833,‎-17.5964,‎-34.4254,‎-22.4548,,pocket
1,0.011,‎-0.0765,0.4199,0.8413,0.0737,‎-0.0091,0.0833,‎-17.5964,‎-34.4254,‎-22.4548,,pocket
2,0.019,‎-0.0333,0.4241,0.9198,0.0737,‎-0.0091,0.0833,‎-17.5964,‎-34.4254,‎-22.4548,,pocket
3,0.078,‎-0.0333,0.4241,0.9198,0.0737,‎-0.0091,0.0833,‎-17.4530,‎-34.0057,‎-22.6349,,pocket
4,0.079,‎-0.0333,0.4241,0.9198,0.0054,0.1842,0.2083,‎-17.4530,‎-34.0057,‎-22.6349,,pocket
0,0.02,‎-0.0148,0.3461,0.9069,0.1421,0.0603,0.1090,‎-8.1848,‎-38.2660,‎-21.8094,,texting
1,0.025,‎-0.0148,0.3461,0.9069,0.1421,0.0603,0.1090,‎-8.1085,‎-37.5809,‎-22.7829,,texting
2,0.032,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,‎-8.1085,‎-37.5809,‎-22.7829,,texting
3,0.067,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,‎-8.8348,‎-37.9395,‎-21.8979,,texting
4,0.076,‎-0.0383,0.3321,1.0122,0.1421,0.0603,0.1090,‎-8.8348,‎-37.9395,‎-21.8979,,texting
0,0.01,0.1532,0.3554,0.7611,‎-0.2958,‎-0.3435,‎-0.5661,9.1843,9.6481,‎-42.0059,,swing
1,0.027,0.0400,0.2935,0.6118,‎-0.2958,‎-0.3435,‎-0.5661,9.1843,9.6481,‎-42.0059,,swing
2,0.074,0.0400,0.2935,0.6118,‎-0.2958,‎-0.3435,‎-0.5661,9.6786,10.5637,‎-41.2506,,swing
3,0.086,0.0400,0.2935,0.6118,‎-0.2958,‎-0.3435,‎-0.5661,9.6786,10.5637,‎-41.2506,,swing
4,0.105,‎-0.0946,0.3734,0.5743,‎-0.2958,‎-0.3435,‎-0.5661,9.6786,10.5637,‎-41.2506,,swing
0,0.016,0.0288,0.4165,0.6711,0.0321,0.0026,‎-0.3492,‎-4.6600,6.4941,‎-42.3859,,swing
1,0.017,‎-0.0600,0.4531,0.6995,0.0321,0.0026,‎-0.3492,‎-4.6600,6.4941,‎-42.3859,,swing
2,0.04,‎-0.0600,0.4531,0.6995,0.0235,0.4096,0.0780,‎-4.6600,6.4941,‎-42.3859,,swing
3,0.041,‎-0.0600,0.4531,0.6995,0.0235,0.4096,0.0780,‎-4.6600,6.4941,‎-42.3859,,swing
4,0.046,‎-0.0673,0.4431,0.9253,0.0235,0.4096,0.0780,‎-4.6600,6.4941,‎-42.3859,,swing
0,0.012,‎-0.0477,0.4368,0.6692,0.3632,‎-0.0423,0.0566,‎-27.7939,‎-0.5234,‎-31.0135,,swing
1,0.027,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,‎-27.7939,‎-0.5234,‎-31.0135,,swing
2,0.04,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,‎-28.1677,0.2731,‎-30.3986,,swing
3,0.053,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,‎-28.1677,0.2731,‎-30.3986,,swing
4,0.088,‎-0.0013,0.3791,0.9611,0.3632,‎-0.0423,0.0566,‎-28.1677,0.2731,‎-30.3986,,swing
